iter	Passed	Remaining
0	137	13583
1	137	6743
2	138	4468
3	138	3321
4	138	2639
5	139	2180
6	139	1852
7	139	1608
8	140	1417
9	140	1265
10	140	1139
11	141	1034
12	141	946
13	141	871
14	142	806
15	142	749
16	143	698
17	143	653
18	143	612
19	143	575
20	144	542
21	144	512
22	144	485
23	145	459
24	145	436
25	145	415
26	146	394
27	146	376
28	146	359
29	147	343
30	147	328
31	147	314
32	148	300
33	148	288
34	148	276
35	149	265
36	149	254
37	149	244
38	150	234
39	150	225
40	150	216
41	151	208
42	151	200
43	151	192
44	151	185
45	152	178
46	152	171
47	152	165
48	153	159
49	153	153
50	153	147
51	153	142
52	154	136
53	154	131
54	154	126
55	155	121
56	155	117
57	155	112
58	156	108
59	156	104
60	156	100
61	157	96
62	157	92
63	157	88
64	158	85
65	158	81
66	158	78
67	159	74
68	159	71
69	159	68
70	159	65
71	160	62
72	160	59
73	160	56
74	161	53
75	161	51
76	161	48
77	162	45
78	162	43
79	163	40
80	163	38
81	163	35
82	163	33
83	164	31
84	164	29
85	165	26
86	165	24
87	165	22
88	165	20
89	166	18
90	166	16
91	166	14
92	166	12
93	167	10
94	167	8
95	167	6
96	168	5
97	168	3
98	168	1
99	168	0
